abandon	(v) bỏ, từ bỏ
pintt(n) Panh (đơn vị (đo lường) ở Anh bằng 0, 58 lít; ở Mỹ bằng 0, 473 lít)
pipet(n) ống dẫn (khí, nước...)
pitch t(n) sân (chơi các môn thể thao); đầu hắc ín
pityt(n) lòng thương hại, điều đáng tiếc, đáng thương
place t(n) (v) nơi, địa điểm; quảng trường
take place txảy ra, được cử hành, được tổ chức
plain t(adj) ngay thẳng, đơn giản, chất phác
plant(n) (v) bản đồ, kế hoạch; vẽ bản đồ, lập kế hoạch, dự kiến
planning	t(n) sự lập kế hoạch, sự quy hoạch
plane t(n) mặt phẳng, mặt bằng
planett(n) hành tinh
plant t(n) (v) thực vật, sự mọc lên; trồng, gieo
plastic t(n) (adj) chất dẻo, làm bằng chất dẻo
plate t(n) bản, tấm kim loại
platform	t(n) nền, bục, bệ; thềm, sân ga
pleasant	t(adj) vui vẻ, dễ thương; dịu dàng, thân mật
pleasantly t(adv) vui vẻ, dễ thương; thân mật
unpleasant t(adj) không dễ chịu, khó chịu, khó ưa
pleaset(v) làm vui lòng, vừa lòng, mong... vui lòng, xin mời
pleasing	t(adj) mang lại niềm vui thích; dễ chịu
pleased t(adj) hài lòng
pleasure	t(n) niềm vui thích, điều thích thú, điều thú vị; ý muốn, ý thích
plentytpro(n) (adv) (n) nhiều, sự thừa; sự sung túc, sự phong phú
plott(n) (v) mảnh đất nhở, sơ đồ, đồ thị, đồ án; vẽ sơ đồ, dựng đồ án
plugt(n) nút (thùng, chậu, bồn..)
plust(adj) (conj) cộng với (số, người...); dấu cộng; cộng,thêm vào
pockett(n) túi (quần áo, trong xe hơi), túi tiền
poemt(n) bài thơ
poetryt(n) thi ca; chất thơ
point t(n) (v) mũi nhọn, điểm; vót, làm nhọn, chấm (câu..)
pointed t(adj) nhọn, có đầu nhọn
poisont(n) (v) chất độc, thuốc độc; đánh thuốc độc, tẩm thuốc độc
poisonoust(adj) độc, có chất độc, gây chết, bệnh
polet(n) người Ba Lan; cực (nam châm, trái đất...)
policet(n) cảnh sát, công an
policyt(n) chính sách, cách xử sự, điều khoản, hợp đồng
polisht(n) (v) nước bóng, nước láng; đánh bóng, làm cho láng
politet(adj) lễ phép, lịch sự
politely	t(adv) lễ phép, lịch sự
politicalt(adj) về chính trị, về chính phủ, có tính chính trị
politicallyt(adv) về mặt chính trị; khôn ngoan, thận trọng; sảo quyệt
politician t(n) nhà chính trị, chính khách
politics	t(n) họat động chính trị, đời sống chính trị, quan điểm chính trị
pollutiont(n) sự ô nhiễm
poolt(n) vũng nước; bể bơi, hồ bơi
poort(adj) nghèo
popular t(adj) có tính đại chúng, (thuộc) nhân dân; được nhiều người ưa chuộng
population t(n) dân cư, dân số; mật độ dân số
portt(n) cảng
poset(v) (n) đưa ra, đề ra, đặt; sự đặt, đề ra
position	t(n) vị trí, chỗ
positive	t(adj) xác thực, rõ ràng, tích cực, lạc quan
possess t(v) có, chiếm hữu
possession t(n) quyền sở hữu, vật sở hữu
possibilityt(n) khă năng, triển vọng
possible	t(adj) có thể, có thể thực hiện
possibly	t(adv) có lẽ, có thể, có thể chấp nhận được
postt(n) (v) thư, bưu kiện; gửi thư
post officet(n) bưu điện
pott(n) can, bình, lọ...
potatot(n) khoai tây
potentialt(adj) (n) tiềm năng; khả năng, tiềm lực
potentiallyt(adv) tiềm năng, tiềm ẩn
pound t(n) pao - đơn vị đo lường
pourt(v) rót, đổ, giội
powdert(n) bột, bụi
power t(n) khả năng, tài năng, năng lực; sức mạnh, nội lực; quyền lực
powerful	t(adj) hùng mạnh, hùng cường
practicalt(adj) thực hành; thực tế
practicallyt(adv) về mặt thực hành; thực tế
practice	t(n) (v) thực hành, thực tiễn
practise	t(v) thực hành, tập luyện
praiset(n) (v) sự ca ngợi, sự tán dương, lòng tôn kính, tôn thờ; khen ngợi, tán dương
prayert(n) sự cầu nguyện
precise t(adj) rõ ràng, chính xác; tỉ mỉ, kỹ tính
preciselyt(adv) đúng, chính xác, cần thận
predict t(v) báo trước, tiên đoán, dự báo
prefert(v) thích hơn
preference t(n) sự thích hơn, sự ưa hơn; cái được ưa thích hơn
pregnant	t(adj) mang thai; giàu trí tưởng tượng, sáng tạo
premises	t(n) biệt thự
preparationt(n) sự sửa soạn, sự chuẩn bị
prepare t(v) sửa soạn, chuẩn bị
prepared	t(adj) đã được chuẩn bị
presence	t(n) sự hiện diện, sự có mặt; người, vât hiện diện
present t(n) (v) có mặt, hiện diện; hiện nay, hiện thời; bày tỏ, giới thiệu, trình bày
presentationt(n) bài thuyết trình, sự trình diện, sự giới thiệu
preserve	t(v) bảo quản, giữ gìn
presidentt(n) hiệu trưởng, chủ tịnh, tổng thống
press t(n) (v) sự ép, sự nén, sự ấn; ép, nén, bóp, ấn
pressure	t(n) sức ép, áp lực, áp suất
presumably t(adv) có thể được, có lẽ
pretend t(v) giả vờ, giả bộ, làm ra vẻ
prettyt(adv) (adj) khá, vừa phải; xinh, xinh xắn; đẹp
prevent t(v) ngăn cản, ngăn chặn, ngăn ngừa
previous	t(adj) vội vàng, hấp tấp; trước (vd. ngày hôm trước), ưu tiên
previously t(adv) trước, trước đây
price t(n) giá
pride t(n) sự kiêu hãnh, sự hãnh diện; tính kiêu căng, tự phụ
priestt(n) linh mục, thầy tu
primary t(adj) nguyên thủy, đầu tiên; thời cổ đại, nguyên sinh; sơ cấp, tiểu học
primarilyt(adv) trước hết, đầu tiên
prime ministert(n) thủ tướng
princet(n) hoàng tử
princess	t(n) công chúa
principlet(n) cơ bản, chủ yếu; nguyên lý, nguyên tắc
print t(v) (n) in, xuất bản; sự in ra
printing	t(n) sự in, thuật in, kỹ sảo in
printer t(n) máy in, thợ in
prior t(adj) trước, ưu tiên
priority	t(n) sự ưu tế, quyền ưu tiên
prisont(n) nhà tù
prisoner	t(n) tù nhân
private t(adj) cá nhân, riêng
privatelyt(adv) riêng tư, cá nhân
prize t(n) giải, giải thưởng
probable	t(adj) có thể, có khả năng
probably	t(adv) hầu như chắc chắn
problem t(n) vấn đề, điều khó giải quyết
proceduret(n) thủ tục
proceed t(v) tiến lên, theo đuổi, tiếp diễn
process t(n) (v) quá trình, sự tiến triển, quy trình; chế biến, gia công, xử lý
produce t(v) sản xuất, chế tạo
producer	t(n) nhà sản xuất
product t(n) sản phẩm
production t(n) sự sản xuất, chế tạo
profession t(n) nghề, nghề nghiệp
professionalt(adj) (n) (thuộc) nghề, nghề nghiệp; chuyên nghiệp
professort(n) giáo sư, giảng viên
profitt(n) thuận lợi, lợi ích, lợi nhuận
program t(n) (v) chương trình; lên chương trình
programmet(n) chương trình
progress	t(n) (v) sự tiến tới, sự tiến triển; tiến bộ, tiến triển, phát triển
project t(n) (v) đề án, dự án,kế hoạch; dự kiến, kế hoạch
promise t(v) (n) hứa, lời hứa
promote t(v) thăng chức, thăng cấp
promotiont(n) sự thăng chức, sự thăng cấp
promptt(adj) (v) mau lẹ, nhanh chóng; xúi, giục, nhắc nhở
promptly	t(adv) mau lẹ, ngay lập tức
pronouncet(v) tuyên bố, thông báo, phát âm
pronunciation t(n) sự phát âm
proof t(n) chứng, chứng cớ, bằng chứng; sự kiểm chứng
propert(adj) đúng, thích đáng, thích hợp
properly	t(adv) một cách đúng đắn, một cách thích đáng
property	t(n) tài sản, của cải; đất đai, nhà cửa, bất động sản
proportion t(n) sự cân xứng, sự cân đối
proposal	t(n) sự đề nghị, đề xuất
propose t(v) đề nghị, đề xuất, đưa ra
prospect	t(n) viễn cảnh, toàn cảnh; triển vọng, mong chờ
protect t(v) bảo vệ, che chở
protection t(n) sự bảo vệ, sự che chở
protest t(n) (v) sự phản đối, sự phản kháng; phản đối, phản kháng
proud t(adj) tự hào, kiêu hãnh
proudly t(adv) một cách tự hào, một cách hãnh diện
prove t(v) chứng tỏ, chứng minh
provide t(v) chuẩn bị đầy đủ, dự phòng; cung cấp, chu cấp
provided	t(conj) với điều kiện là, miễn là
pintt(n) panh (= 0, 58 lít (E);=0, 473 lít (A))
pubt(n) quán rượu, tiệm rượu
publict(adj) (n) chung, công cộng; công chúng, nhân dân
in publictgiữa công chúng, công khai
publicly	t(adv) công khai, công cộng
publicationt(n) sự công bố; sự xuất bản
publicityt(n) sự công khai, sự quảng cáo
publish t(v) công bố, ban bố; xuất bản
publishing t(n) công việc, nghề xuất bản
pullt(v) (n) lôi, kéo, giật; sự lôi kéo, sự giật
punch t(v) (n) đấm, thụi; quả đấm, cú thụi
punisht(v) phạt, trừng phạt
punishment t(n) sự trừng phạt, sự trừng trị
pupil t(n) học sinh
purchase	t(n) (v) sự mua, sự tậu; mua, sắm, tậu
puret(adj) nguyên chất, tinh khiết, trong lành
purelyt(adv) hoàn toàn, chỉ là
purplet(adj) (n) tía, có màu tía; màu tía
purpose t(n) mục đích, ý định
on purpose tcố tình, cố ý, có chủ tâm
pursuet(v) đuổi theo, đuổi bắt
pusht(v) (n) xô đẩy; sự xô đẩy
putt(v) đặt, để, cho vào
put sth on tmặc (áo), đội (mũ), đi (giày)
put sth outttắt, dập tắt
qualification t(n) phẩm chất, năng lực; khả năng chuyên môn
qualify t(v) đủ khả năng, đủ tư cách, điều kiện
qualifiedt(adj) đủ tư cách, điều kiện, khả năng
quality tn) chất lượng, phẩm chất
quantity	t(n) lượng, số lượng
quarter t(n) 1/4, 15 phút
question	t(n) (v) câu hỏi; hỏi, chất vấn
quick t(adj) nhanh
quickly t(adv) nhanh
quiet t(adj) lặng, yên lặng, yên tĩnh
quietly t(adv) lặng, yên lặng, yên tĩnh
quitt(v) thoát, thoát ra
quite t(adv) hoàn toàn, hầu hết
quote t(v) trích dẫn
racet(n) (v) loài, chủng, giống; cuộc đua; đua
racingt(n) cuộc đua
railt(n) đường ray
railway t(n) đường sắt
raise t(v) nâng lên, đưa lên, ngẩng lên
range t(n) dãy, hàng, loại; phạm vi, trình độ
rankt(n) (v) hàng, dãy; sắp xếp thành hàng, dãy
rapid t(adj) nhanh, nhanh chóng
rapidly t(adv) nhanh, nhanh chóng
raret(adj) hiếm, ít
rarelyt(adv) hiếm khi, ít khi
ratet(n) (v) tỷ lệ, tốc độ
rathert(adv) thà.. còn hơn, thích... hơn
rather thanthơn là
rawt(adj) sống (# chín), thô, còn nguyên chất
reach t(v) đến, đi đến, tới
react t(v) tác động trở lại, phản ứng
reaction	t(n) sự phản ứng; sự phản tác dụng
reading t(n) sự đọc
readert(n) người đọc, độc giả
ready t(adj) sẵn sàng
realt(adj) thực, thực tế, có thật
reallyt(adv) thực, thực ra, thực sự
realistict(adj) hiện thực
reality t(n) sự thật, thực tế, thực tại
realize t(v) thực hiện, thực hành
reart(n) (adj) phía sau; ở đằng sau, ở đằng sau
reasont(n) lý do, lý lẽ
reasonable t(adj) có lý, hợp lý
reasonably t(adv) hợp lý
unreasonablet(adj) vô lý
recallt(v) gọi về, triệu hồi; nhặc lại, gợi lại
receipt t(n) công thức; đơn thuốc
receive t(v) nhận, lĩnh, thu
recentt(adj) gần đây, mới đây
recently	t(adv) gần đây, mới đây
receptiont(n) sự nhận, sự tiếp nhận, sự đón tiếp
reckont(v) tính, đếm
recognitiont(n) sự công nhận, sự thừa nhận
recognizet(v) nhận ra, nhận diện; công nhận, thừa nhận
recommendt(v) giới thiệu, tiến cử; đề nghị, khuyên bảo
recordt(n) (v) bản ghi, sự ghi, bản thu, sự thu; thu, ghi chép
recordingt(n) sự ghi, sự thu âm
recover t(v) lấy lại, giành lại
reducet(v) giảm, giảm bớt
reductiont(n) sự giảm giá, sự hạ giá
refer to	t(v) xem, tham khảo; ám chỉ, nhắc đến
referencet(n) sự tham khảo, hỏi ý kiến
reflect t(v) phản chiếu, phản hồi, phản ánh
reformt(v) (n) cải cách, cải thiện, cải tạo; sự cải cách, sự cải thiện, cải tạo
refrigeratorttủ lạnh
refusal t(n) sự từ chối, sự khước từ
refuset(v) từ chối, khước từ
regardt(v) (n) nhìn, đánh giá; cái nhìn, sự quan tâm, sự chú ý (lời chúc tụng cuối thư)
regardingt(prep) về, về việc, đối với (vấn đề...)
regiont(n) vùng, miền
regional	t(adj) vùng, địa phương
register	t(v) (n) đăng ký, ghi vào sổ; sổ, sổ sách, máy ghi
regrett(v) (n) đáng tiếc, hối tiếc; lòng thương tiếc, sự hối tiếc
regular t(adj) thường xuyên, đều đặn
regularlyt(adv) đều đặn, thường xuyên
regulation t(n) sự điều chỉnh, điều lệ, quy tắc
rejectt(v) không chấp nhận, loại bỏ, bác bỏ
relatet(v) kể lại, thuật lại; liên hệ, liên quan
related to t(adj) có liên quan, có quan hệ với ai, cái gì
relation	t(n) mối quan hệ, sự liên quan, liên lạc
relationshipt(n) mối quan hệ, mối liên lạc
relative	t(adj) (n) có liên quan đến; người có họ, đại từ quan hệ
relatively t(adv) có liên quan, có quan hệ
relax t(v) giải trí, nghỉ ngơi
relaxed t(adj) thanh thản, thoải mái
relaxing	t(adj) làm giảm, bớt căng thẳng
release t(v) (n) làm nhẹ, bớt, thả, phóng thích, phát hành; sự giải thoát, thoát khỏi, sự thả
relevant	t(adj) thích hợp, có liên quan
relieft(n) sự giảm nhẹ, sự làm cho khuây khỏa; sự trợ cấo; sự đền bù
religion	t(n) tôn giáo
religioust(adj) (thuộc) tôn giáo
rely on t(v) tin vào, tin cậy, tin tưởng vào
remaint(v) còn lại, vẫn còn như cũ
remainingt(adj) còn lại
remains t(n) đồ thừa, cái còn lại
remarkt(n) (v) sự nhận xét, phê bình, sự để ý, chú ý; nhận xét, phê bình
remarkable t(adj) đáng chú ý, đáng để ý; khác thường
remarkably t(adv) đáng chú ý, đáng để ý; khác thường
remember	t(v) nhớ, nhớ lại
remindt(v) nhắc nhở, gợi nhớ
remotet(adj) xa, xa xôi, xa cách
removal t(n) viêc di chuyển, việc dọn nhà, dời đi
removet(v) dời đi, di chuyển
rentt(n) (v) sự thuê mướn; cho thuê, thuê
rentedt(adj) được thuê, được mướn
repairt(v) (n) sửa chữa, chỉnh tu; sự sửa chữa, sự chỉnh tu
repeatt(v) nhắc lại, lặp lại
repeated	t(adj) được nhắc lại, được lặp lại
repeatedly t(adv) lặp đi lặp lại nhiều lần
replace t(v) thay thế
reply t(n) (v) sự trả lời, sự hồi âm; trả lời, hồi âm
reportt(v) (n) báo cáo, tường trình; bản báo cáo, bản tường trình
representt(v) miêu tả, hình dung; đại diện, thay mặt
representativet(n) (adj) điều tiêu biểu, tượng trưng, mẫu; miêu tả, biểu hiện, đại diện
reproducet(v) tái sản xuất
reputation t(n) sự nổi tiếng, nổi danh
request t(n) (v) lời thỉnh cầu, lời đề nghị, yêu cầu; thỉnh cầu
require t(v) đòi hỏi, yêu cầu, quy định
requirementt(n) nhu cầu, sự đòi hỏi; luật lệ, thủ tục
rescuet(v) (n) giải thoát, cứu nguy; sự giải thoát, sự cứu nguy
research	t(n) sự nghiên cứu
reservationt(n) sự hạn chế, điều kiện hạn chế
reserve t(v) (n) dự trữ, để dành, đặt trước, đăng ký trước; sự dự trữ, sự để dành, sự đặt trước
resident	t(n) (adj) người sinh sống, trú ngụ, khách trọ; có nhà ở, cư trú, thường trú
resistt(v) chống lại, phản đổi, kháng cự
resistance t(n) sự chống lại, sự phản đối, sự kháng cự
resolve t(v) quyết định, kiên quyết (làm gì); giải quyết (vấn đề, khó khăn)
resortt(n) kế sách, phương kế
resource	t(n) tài nguyên; kế sách, thủ đoạn
respect t(n) (v) sự kính trọng, sự lễ phép; tôn trọng, kính trọng, khâm phục
respond t(v) hưởng ứng, phản ứng lại, trả lời
response	t(n) sự trả lời, câu trả lời, sự hưởng ứng, sự đáp lại
responsibilityt(n) trách nhiệm, sự chịu trách nhiệm
responsiblet(adj) chịu trách nhiệm về, chịu trách nhiệm trước ai,cái gì
restt(n) (v) sự nghỉ ngơi, lúc nghỉ; nghỉ, nghỉ ngơi
the rest	tvật, cái còn lại, những người, cái khác
restaurant t(n) nhà hàng ăn, hiệu ăn
restore t(v) hoàn lại, trả lại; sửa chữa lại, phục hồi lại
restrict	t(v) hạn chế, giới hạn
restricted t(adj) bị hạn chế, có giới hạn; vùng cấm
restrictiont(n) sự hạn chế, sự giới hạn
resultt(n) (v) kết quả; bởi, do.. mà ra, kết quả là...
retaint(v) giữ lại, nhớ được
retiret(v) rời bỏ, rút về; thôi, nghỉ việc, về hưu
retired t(adj) ẩn dật, hẻo lánh, đã về hưu, đã nghỉ việc
retirement t(n) sự ẩn dật, nơi hẻo lánh, sự về hưu, sự nghỉ việc
returnt(v) (n) trở lại, trở về; sự trở lại, sự trở về
revealt(v) bộc lộ, biểu lộ, tiết lộ; phát hiện, khám phá
reverse t(v) (n) đảo, ngược lại; điều trái ngược, mặt trái
reviewt(n) (v) sự xem lại, sự xét lại; làm lại, xem xét lại
reviset(v) đọc lại, xem lại, sửa lại, ôn lại
revision	t(n) sự xem lại, sự đọc lại, sự sửa lại, sự ôn lại
revolution t(n) cuộc cách mạng
rewardt(n) (v) sự thưởng, phần thưởng; thưởng, thưởng công
rhythmt(n) nhịp điệu
ricet(n) gạo, thóc, cơm; cây lúa
richt(adj) giàu, giàu có
ridt(v) giải thoát
get rid of ttống khứ
ridet(v) (n) đi, cưỡi (ngựa); sự đi, đường đi
ridingt(n) môn thể thao cưỡi ngựa, sự đi xe (bus, điện, xe đạp)
rider t(n) người cưỡi ngựa, người đi xe đạp
ridiculous t(adj) buồn cười, lố bịch, lố lăng
right t(adj) (adv) (n) thẳng, phải, tốt; ngay, đúng; điều thiện, điều phải, bên phải
rightly t(adv) đúng, phải, có lý
ringt(n) (v) chiếc nhẫn, đeo nhẫn cho ai
riset(n) (v) sự lên, sự tăng lương, thăng cấp; dậy, đứng lên, mọc (mặt trời), thành đạt
riskt(n) (v) sự liều, mạo hiểm; liều
rival t(n) (adj) đối thủ, địch thủ; đối địch, cạnh tranh
roadt(n) con đường, đường phố
robt(v) cướp, lấy trộm
rockt(n) đá
rolet(n) vai (diễn), vai trò
rollt(n) (v) cuốn, cuộn, sự lăn tròn; lăn, cuốn, quấn, cuộn
romantic	t(adj) lãng mạn
rooft(n) mái nhà, nóc
roott(n) gốc, rễ
ropet(n) dây cáp, dây thừng, xâu, chuỗi
rough t(adj) gồ ghề, lởm chởm
roughly t(adv) gồ ghề, lởm chởm
round t(adj) (adv) (n)tròn, vòng quanh, xung quanh
rounded t(adj) bị làm thành tròn; phát triển đầy đủ
route t(n) đường đi, lộ trình, tuyến đường
routine t(n) (adj) thói thường, lệ thường, thủ tục; thường lệ, thông thường
rowt(n) hàng, dãy
royal t(adj) (thuộc) vua, nữ hoàng, hoàng gia
rubt(v) cọ xát, xoa bóp, nghiền, tán
rubbert(n) cao su
rubbish t(n) vật vô giá trị, bỏ đi, rác rưởi
rudet(adj) bất lịch sự, thô lỗ; thô sơ, đơn giản
rudelyt(adv) bất lịch sự, thô lỗ; thô sơ, đơn giản
ruint(v) (n) làm hỏng, làm đổ nát, làm phá sản; sự hỏng, sự đổ nát, sự phá sản
ruinedt(adj) bị hỏng, bị đổ nát, bị phá sản
rulet(n) (v) quy tắc, điều lệ, luật lệ; cai trị, chỉ huy, điều khiển
ruler t(n) người cai trị, người trị vì; thước kẻ
rumourt(n) tin đồn, lời đồn
running t(n) sự chạy, cuộc chạy đua
runnert(n) người chạy
rural t(adj) (thuộc) nông thôn, vùng nông thôn
rusht(v) (n) xông lên, lao vào, xô đẩy; sự xông lên, sự lao vào, sự xô đẩy
sackt(n) (v) bào tải; đóng bao, bỏ vào bao
sadt(adj) buồn, buồn bã
sadly t(adv) một cách buồn bã, đáng buồn là, không may mà
sadness t(n) sự buồn rầu, sự buồn bã
safet(adj) an toàn, chắc chắn, đáng tin
safelyt(adv) an toàn, chắc chắn, đáng tin
safetyt(n) sự an toàn, sự chắc chăn
sailt(v) (n) đi tàu, thuyền, nhổ neo; buồm, cánh buồm, chuyến đi bằng thuyền buồm
sailing t(n) sự đi thuyền
sailort(n) thủy thủ
salad t(n) sa lát (xà lách trộng dầu dấm); rau sống
salaryt(n) tiền lương
salet(n) việc bán hàng
saltt(n) muối
salty t(adj) chứ vị muối, có muối, mặn
samet(adj) pro(n) đều đều, đơn điệu; cũng như thế, vẫn cái đó
samplet(n) mẫu, hàng mẫu
sandt(n) cát
satisfactiont(n) sự làm cho thỏa mãn, toại nguyện; sự trả nợ, bồi thường
satisfy t(v) làm thỏa mãn, hài lòng; trả (nợ), chuộc tội
satisfiedt(adj) cảm thấy hài lòng, vừa ý, thoả mãn
satisfying t(adj) đem lại sự thỏa mãn, làm thỏa mãn, làm vừa ý
sauce t(n) nước xốt, nước chấm
savet(v) cứu, lưu
savingt(n) sự cứu, sự tiết kiệm
scale t(n) vảy (cá..)
scare t(v) (n) làm kinh hãi, sợ hãi, dọa; sự sợ hãi, sự kinh hoàng
scaredt(adj) bị hoảng sợ, bị sợ hãi
scene t(n) cảnh, phong cảnh
schedule	t(n) (v) kế hoạch làm việc, bản liệt kê; lên thời khóa biểu, lên kế hoạch
schemet(n) sự sắp xếp, sự phối hợp; kế hoạch thực hiện; lược đồ, sơ đồ
schoolt(n) đàn cá, bầy cá, trường học
science t(n) khoa học, khoa học tự nhiên
scientific t(adj) (thuộc) khoa học, có tính khoa học
scientistt(n) nhà khoa học
scissors	t(n) cái kéo
score t(n) (v) điểm số, bản thắng, tỷ số; đạt được, thành công, cho điểm
scratch t(v) (n) cào, làm xước da; sự cào, sự trầy xước da
screamt(v) (n) gào thét, kêu lên; tiếng thét, tiếng kêu to
screent(n) màn che, màn ảnh, màn hình; phim ảnh nói chung
screw t(n) (v) đinh vít, đinh ốc; bắt vít, bắt ốc
sealt(n) (v) hải cẩu; săn hải cẩu
searcht(n) (v) sự tìm kiếm, sự thăm dò, sự điều tra; tìm kiếm, thăm dò, điều tra
seasont(n) mùa
seatt(n) ghế, chỗ ngồi
secondt(adv) (n) thứ hai, ở vị trí thứ 2, thứ nhì; người về nhì
secondaryt(adj) trung học, thứ yếu
secrett(adj) (n) bí mật; điều bí mật
secretly	t(adv) bí mật, riêng tư
secretaryt(n) thư ký
section t(n) mục, phần
sectort(n) khu vực, lĩnh vực
securet(adj) (v) chắc chắn, đảm bảo; bảo đảm, giữ an ninh
security	t(n) sự an toàn, sự an ninh
seet(v) nhìn, nhìn thấy, quan sát
seedt(n) hạt, hạt giống
seekt(v) tìm, tìm kiếm, theo đuổi,đòi hỏi
seemt(v) có vẻ như, dường như
selectt(v) chọn lựa, chọn lọc
selectiont(n) sự lựa chọn, sự chọc lọc
selft(n) bản thân mình
sellt(v) bán
senatet(n) thượng nghi viện, ban giám hiệu
senator t(n) thượng nghị sĩ
sendt(v) gửi, phái đi
seniort(adj) (n) nhiều tuổi hơn, dành cho trẻ em trên 11t, sinh viên năm cuối trường trung học, cao đẳng 
sense t(n) giác quan, tri giác, cảm giác
sensible	t(adj) có óc xét đoán; hiểu, nhận biết được
sensitivet(adj) dễ bị thương, dễ bị hỏng; dễ bị xúc phạm
sentence	t(n) câu
separate	t(adj) (v) khác nhau, riêng biệt; làm rời, tách ra, chia tay
separatedt(adj) ly thân
separately t(adv) không cùng nhau, thành người riêng, vật riêng
separation t(n) sự chia cắt, phân ly, sự chia tay, ly thân
seriest(n) loạt, dãy, chuỗi
serious t(adj) đứng đắn, nghiêm trang
seriouslyt(adv) đứng đắn, nghiêm trang
servant t(n) người hầu, đầy tớ
serve t(v) phục vụ, phụng sự
service t(n) sự phục vụ, sự hầu hạ
session t(n) buổi họp, phiên họp, buổi, phiên
sett(n) (v) bộ, bọn, đám, lũ; đặt để, bố trí
settlet(v) giải quyết, dàn xếp, hòa giải, đặt, bố trí
several t(adj) pro(n) nhiều hơn ba; vài; dăm ba, riêng; cá nhân
severet(adj) khắt khe, gay gắt; giản dị, mộc mạc
severely	t(adv) khắt khe, gay gắt; giản dị, mộc mạc
sewt(v) may, khâu
sewingt(n) sự khâu, sự may vá
sext(n) giới, giống
sexualt(adj) giới tính, các vấn đề sinh lý
sexually	t(adv) giới tính, các vấn đề sinh lý
shade t(n) bóng, bóng tối
shadowt(n) bóng, bóng tối, bóng râm, bóng má
shake t(v) (n) rung, lắc, giũ; sự rung, sự lắc, sự giũ
shall t(v) dự đoán tương lai: sẽ
shallow t(adj) nông, cạn
shame t(n) sự xấu hổ, thẹn thùng, sự ngượng
shape t(n) (v) hình, hình dạng, hình thù
shapedt(adj) có hình dáng được chỉ rõ
share t(v) (n) đóng góp, tham gia, chia sẻ; phần đóng góp, phần tham gia, chia sẻ
sharp t(adj) sắc, nhọn, bén
sharply t(adv) sắc, nhọn, bén
shave t(v) cạo (râu), bào, đẽo (gỗ)
sheep t(n) con cừu
sheet t(n) chăn, khăn trải giường; lá, tấm, phiến, tờ
shelf t(n) kệ, ngăn, giá
shell t(n) vỏ, mai; vẻ bề ngoài
shelter t(n) (v) sự nương tựa, sự che chở, sự ẩn náu; che chở, bảo vệ
shift t(v) (n) đổi chỗ, dời chỗ, chuyển, giao; sự thay đổi, sự luân phiên
shine t(v) chiếu sáng, tỏa sáng
shiny t(adj) sáng chói, bóng
shipt(n) tàu, tàu thủy
shirt t(n) áo sơ mi
shock t(v) (n) sự đụng chạm, va chạm, sự kích động, sự choáng
shocking	t(adj) gây ra căm phẫn, tồi tệ, gây kích động
shocked t(adj) bị kích động, bị va chạm, bị sốc
shoet(n) giày
shoot t(v) vụt qua, chạy qua, ném, phóng, bắn; đâm ra, trồi ra
shooting	t(n) sự bắn, sự phóng đi
shopt(n) (v) cửa hàng; đi mua hàng, đi chợ
shopping	t(n) sự mua sắm
short t(adj) ngắn, cụt
shortly t(adv) trong thời gian ngắn, sớm
shott(n) đạn, viên đạn
shoulder	t(n) vai
shout t(v) (n) hò hét, reo hò; sự la hét, sự hò reo
showt(v) (n) biểu diễn, trưng bày; sự biểu diễn, sự bày tỏ
showert(n) vòi hoa sen, sự tắm vòi hoa sen
shutt(v) (adj) đóng, khép, đậy; tính khép kín
shyt(adj) nhút nhát, e thẹn
sickt(adj) ốm, đau, bệnh
be sick tbị ốm
feel sicktbuồn nôn
sidet(n) mặt, mặt phẳng
sideways	t(adj) (adv) ngang, từ một bên; sang bên
sight t(n) cảnh đẹp; sự nhìn
signt(n) (v) dấu, dấu hiệu, kí hiệu; đánh dấu, viết ký hiệu
signalt(n) (v) dấu hiệu, tín hiệu; ra hiệu, báo hiệu
signaturet(n) chữ ký
significantt(adj) nhiều ý nghĩa, quan trọng
significantly t(adv) đáng kể
silence t(n) sự im lặng, sự yên tĩnh
silentt(adj) im lặng, yên tĩnh
silkt(n) tơ, chỉ, lụa
silly t(adj) ngớ ngẩn, ngu ngốc, khờ dại
silvert(n) (adj) bạc, đồng bạc; làm bằng bạc, trắng như bạc
similar t(adj) giống như, tương tự như
similarlyt(adv) tương tự, giống nhau
simplet(adj) đơn, đơn giản, dễ dàng
simplyt(adv) một cách dễ dàng, giản dị
since t(adv) từ, từ khi; từ khi, từ lúc đó; từ đó, từ lúc ấy
sincere t(adj) thật thà, thẳng thắng, chân thành
sincerelyt(adv) một cách chân thành
Yours sincerely tbạn chân thành của anh, chị.. (viết ở cuối thư)
singt(v) hát, ca hát
singing t(n) sự hát, tiếng hát
singert(n) ca sĩ
singlet(adj) đơn, đơn độc, đơn lẻ
sinkt(v) chìm, lún, đắm
sirt(n) xưng hô lịch sự Ngài, Ông
sitt(v) ngồi
sit down	tngồi xuống
sitet(n) chỗ, vị trí
situationt(n) hoàn cảnh, địa thế, vị trí
sizet(n) cỡ
sized tđã được định cỡ
skilful t(adj) tài giỏi, khéo tay
skilfullyt(adv) tài giỏi, khéo tay
skill t(n) kỹ năng, kỹ sảo
skilled t(adj) có kỹ năng, có kỹ sảo, khẻo tay; có kinh nghiệm, lành nghề
skint(n) da, vỏ
